Country,Region,Rank,Score,Latitude,Longitud,DispRegion,DispRegion2
Portugal,Western Europe,88,5.102,39.3998,-8.2244,Europe,4
Qatar,Middle East and Northern Africa,28,6.611,25.3648,51.1838,Africa,1
Romania,Central and Eastern Europe,86,5.124,45.9431,24.9667,Europe,4
Russia,Central and Eastern Europe,64,5.716,61.524,105.3187,Europe,4
Rwanda,Sub-Saharan Africa,154,3.465,-1.9402,29.8738,Africa,1
Saudi Arabia,Middle East and Northern Africa,35,6.411,23.8859,45.0791,Africa,1
Senegal,Sub-Saharan Africa,142,3.904,14.4974,-14.4523,Africa,1
Serbia,Central and Eastern Europe,87,5.123,44.0165,21.0058,Europe,4
Sierra Leone,Sub-Saharan Africa,123,4.507,8.4605,-11.7798,Africa,1
Singapore,Southeastern Asia,24,6.798,1.352,103.8198,Asia,3
Slovakia,Central and Eastern Europe,45,5.995,48.669,19.699,Europe,4
Slovenia,Central and Eastern Europe,55,5.848,46.1512,14.9954,Europe,4
Somaliland region,Sub-Saharan Africa,91,5.057,5.7863,47.3258,Africa,1
South Africa,Sub-Saharan Africa,113,4.642,-30.5594,22.9375,Africa,1
South Korea,Eastern Asia,47,5.984,35.9077,127.7669,Asia,3
Spain,Western Europe,36,6.329,40.4636,-3.7492,Europe,4
Sri Lanka,Southern Asia,132,4.271,7.873,80.7717,Asia,3
Sudan,Sub-Saharan Africa,118,4.55,12.8628,30.2176,Africa,1
Suriname,Latin America and Americas,40,6.269,3.1993,-56.0277,Americas,2
Swaziland,Sub-Saharan Africa,101,4.867,-26.5225,31.4658,Africa,1
Sweden,Western Europe,8,7.364,60.1281,18.6435,Europe,4
Switzerland,Western Europe,1,7.587,46.8181,8.2275,Europe,4
Syria,Middle East and Northern Africa,156,3.006,34.802,38.9968,Africa,1
Taiwan,Eastern Asia,38,6.298,23.6978,120.9605,Asia,3
Tajikistan,Central and Eastern Europe,106,4.786,38.861,71.276,Europe,4
Tanzania,Sub-Saharan Africa,146,3.781,-6.369,34.8888,Africa,1
Thailand,Southeastern Asia,34,6.455,15.87,100.9925,Asia,3
Togo,Sub-Saharan Africa,158,2.839,8.6195,0.8247,Africa,1
Trinidad and Tobago,Latin America and Americas,41,6.168,10.6918,-61.2225,Americas,2
Tunisia,Middle East and Northern Africa,107,4.739,33.8869,9.5374,Africa,1
Turkey,Middle East and Northern Africa,76,5.332,38.9637,35.2433,Africa,1
Turkmenistan,Central and Eastern Europe,70,5.548,38.9697,59.5562,Europe,4
Uganda,Sub-Saharan Africa,141,3.931,1.3733,32.2902,Africa,1
Ukraine,Central and Eastern Europe,111,4.681,48.3794,31.1655,Europe,4
United Arab Emirates,Middle East and Northern Africa,20,6.901,23.424,53.8478,Africa,1
United Kingdom,Western Europe,21,6.867,55.378,-9.4359,Europe,4
United States,North America,15,7.119,37.0902,-95.7128,Americas,2
Uruguay,Latin America and Americas,32,6.485,-32.5227,-55.7658,Americas,2
Uzbekistan,Central and Eastern Europe,44,6.003,41.3774,64.5852,Europe,4
Venezuela,Latin America and Americas,23,6.81,6.4237,-66.5897,Americas,2
Vietnam,Southeastern Asia,75,5.36,14.0583,108.2771,Asia,3
Yemen,Middle East and Northern Africa,136,4.077,15.5527,48.5163,Africa,1
Zambia,Sub-Saharan Africa,85,5.129,-13.1338,27.8493,Africa,1
Zimbabwe,Sub-Saharan Africa,115,4.61,-19.0154,29.1548,Africa,1
