Country,Region,Rank,Score,Latitude,Longitud,DispRegion,DispRegion2
Russia,Central and Eastern Europe,49,5.962999821,61.524,105.3187,Europe,4
Rwanda,Sub-Saharan Africa,151,3.470999956,-1.9402,29.8738,Africa,1
Saudi Arabia,Middle East and Northern Africa,37,6.343999863,23.8859,45.0791,Africa,1
Senegal,Sub-Saharan Africa,115,4.534999847,14.4974,-14.4523,Africa,1
Serbia,Central and Eastern Europe,73,5.394999981,44.0165,21.0058,Europe,4
Sierra Leone,Sub-Saharan Africa,106,4.709000111,8.4605,-11.7798,Africa,1
Singapore,Southeastern Asia,26,6.572000027,1.352,103.8198,Asia,3
Slovakia,Central and Eastern Europe,40,6.09800005,48.669,19.699,Europe,4
Slovenia,Central and Eastern Europe,62,5.757999897,46.1512,14.9954,Europe,4
Somalia,Sub-Saharan Africa,93,5.151000023,5.1521,46.1996,Africa,1
South Africa,Sub-Saharan Africa,101,4.828999996,-30.5594,22.9375,Africa,1
South Korea,Eastern Asia,55,5.837999821,35.9077,127.7669,Asia,3
South Sudan,Sub-Saharan Africa,147,3.59100008,6.8769,31.3069,Africa,1
Spain,Western Europe,34,6.402999878,40.4636,-3.7492,Europe,4
Sri Lanka,Southern Asia,120,4.440000057,7.873,80.7717,Asia,3
Sudan,Sub-Saharan Africa,130,4.138999939,12.8628,30.2176,Africa,1
Sweden,Western Europe,9,7.28399992,60.1281,18.6435,Europe,4
Switzerland,Western Europe,4,7.493999958,46.8181,8.2275,Europe,4
Syria,Middle East and Northern Africa,152,3.461999893,34.802,38.9968,Africa,1
Taiwan Province of China,Eastern Asia,33,6.421999931,23.6978,120.9605,Asia,3
Tajikistan,Central and Eastern Europe,96,5.040999889,38.861,71.276,Europe,4
Tanzania,Sub-Saharan Africa,153,3.348999977,-6.369,34.8888,Africa,1
Thailand,Southeastern Asia,32,6.423999786,15.87,100.9925,Asia,3
Togo,Sub-Saharan Africa,150,3.494999886,8.6195,0.8247,Africa,1
Trinidad and Tobago,Latin America and Caribbean,38,6.168000221,10.6918,-61.2225,Americas,2
Tunisia,Middle East and Northern Africa,102,4.804999828,33.8869,9.5374,Africa,1
Turkey,Middle East and Northern Africa,69,5.5,38.9637,35.2433,Africa,1
Turkmenistan,Central and Eastern Europe,59,5.822000027,38.9697,59.5562,Europe,4
Uganda,Sub-Saharan Africa,133,4.080999851,1.3733,32.2902,Africa,1
Ukraine,Central and Eastern Europe,132,4.096000195,48.3794,31.1655,Europe,4
United Arab Emirates,Middle East and Northern Africa,21,6.647999763,23.424,53.8478,Africa,1
United Kingdom,Western Europe,19,6.714000225,55.378,-9.4359,Europe,4
United States,North America,14,6.993000031,37.0902,-95.7128,Americas,2
Uruguay,Latin America and Caribbean,28,6.453999996,-32.5227,-55.7658,Americas,2
Uzbekistan,Central and Eastern Europe,47,5.971000195,41.3774,64.5852,Europe,4
Venezuela,Latin America and Caribbean,82,5.25,6.4237,-66.5897,Americas,2
Vietnam,Southeastern Asia,94,5.073999882,14.0583,108.2771,Asia,3
Yemen,Middle East and Northern Africa,146,3.592999935,15.5527,48.5163,Africa,1
Zambia,Sub-Saharan Africa,116,4.513999939,-13.1338,27.8493,Africa,1
Zimbabwe,Sub-Saharan Africa,138,3.875,-19.0154,29.1548,Africa,1
